"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
1905,1986,"A - Average",6,4,0,0,649400,"R2",463800,185600,NA,2851.2,0
1900,NA,"A - Average",9,3,0,1,1234800,"R3",996600,238200,NA,3153,0
1905,NA,"A - Average",9,3,0,1,1194300,"R3",952000,242300,NA,3237,0
1905,2018,"G - Good",6,3,0,0,931000,"R3",710000,221000,NA,2652,0
1920,NA,"A - Average",9,3,0,0,1231700,"R3",992500,239200,NA,3096,0
1890,NA,"A - Average",2,1,1,1,777000,"R1",557500,219500,NA,1392,0
1940,2018,"G - Good",3,2,0,0,900400,"R1",614300,286100,NA,1820,0
1890,NA,"A - Average",4,2,0,1,713200,"R2",476900,236300,NA,1836,0
1910,NA,"A - Average",3,1,0,0,652100,"R1",378500,273600,NA,1021.8,0
1871,2005,"A - Average",9,3,0,1,1819400,"R3",1349000,470400,NA,4792.7,0
1905,NA,"A - Average",6,3,0,0,629100,"R3",398900,230200,NA,2953.2,0
1900,NA,"A - Average",6,3,0,0,698900,"R3",449800,249100,NA,2667.4,0
1910,NA,"F - Fair",2,1,0,0,260600,"R1",184700,75900,NA,504,0
1910,1960,"A - Average",3,1,0,0,425200,"R1",282700,142500,NA,1258,0
1940,NA,"A - Average",1,1,0,0,524200,"R1",295300,228900,NA,768,0
1959,2006,"G - Good",3,2,1,1,933900,"R1",609600,324300,NA,1332.8,0
1890,2004,"A - Average",6,3,0,0,578800,"R2",388000,190800,NA,2416,0
1890,NA,"A - Average",8,3,0,0,788900,"R3",575500,213400,NA,3735,0
1900,NA,"A - Average",5,1,0,0,400800,"R1",280100,120700,NA,1785.6,0
1905,2013,"A - Average",10,3,0,0,1896400,"R3",1522100,374300,NA,3891,0
1910,NA,"A - Average",8,3,0,0,1190100,"R3",924100,266000,NA,3976.8,0
1890,2019,"A - Average",2,1,1,1,760600,"R1",558100,202500,NA,1338,0
1905,NA,"A - Average",6,2,0,3,927700,"R2",593400,334300,NA,3141.5,0
1905,NA,"A - Average",8,3,0,0,797800,"R3",561100,236700,NA,3564,0
1920,NA,"A - Average",6,3,0,0,979100,"R3",723800,255300,NA,3249,0
1905,2019,"A - Average",4,2,0,0,777000,"R2",524200,252800,NA,2816.4,0
1920,NA,"A - Average",5,2,0,0,734300,"R2",508800,225500,NA,2828,0
1900,2013,"G - Good",4,2,0,0,1012300,"R1",783800,228500,NA,2031.6,0
1915,NA,"A - Average",4,2,0,0,868300,"R2",608300,260000,NA,3360,0
1890,2016,"G - Good",4,1,0,0,777400,"R1",590400,187000,NA,1692,0
1960,NA,"A - Average",3,1,0,2,462200,"R1",252800,209400,NA,1008,0
1905,NA,"A - Average",6,3,1,2,870200,"R3",641500,228700,NA,3723,0
1900,1998,"A - Average",8,2,0,0,1438600,"R2",1104700,333900,NA,2610,0
1905,NA,"A - Average",6,3,0,0,1046900,"R3",8e+05,246900,NA,3507,0
1905,2019,"A - Average",6,3,0,1,1365500,"R3",1070600,294900,NA,3645,0
1900,NA,"A - Average",4,2,0,0,732200,"R2",514900,217300,NA,3714.4,0
1900,2000,"G - Good",8,3,4,7,1785700,"R3",1455900,329800,NA,3360,0
1900,NA,"G - Good",6,3,3,7,1917200,"R3",1418100,499100,NA,4236,0
1910,NA,"G - Good",9,3,1,2,1098200,"R3",824100,274100,NA,3750,0
1920,1998,"G - Good",4,1,0,0,585900,"R1",398600,187300,NA,1600,0
1920,NA,"A - Average",7,2,0,0,693400,"R2",482100,211300,NA,2827.2,0
1920,2022,"A - Average",5,2,0,7,1090200,"R2",759300,330900,NA,3126.4,0
1940,NA,"A - Average",4,2,0,0,795000,"R2",510700,284300,NA,1900,0
1910,1999,"G - Good",8,3,0,0,1184700,"R3",933800,250900,NA,4536.6,0
1880,2008,"A - Average",6,3,0,0,931000,"R3",714200,216800,NA,2592,0
1930,1990,"A - Average",3,1,0,0,509800,"R1",346300,163500,NA,2388,0
1935,NA,"A - Average",4,2,0,1,532900,"R2",346700,186200,NA,2220,0
1910,2021,"A - Average",3,1,0,0,578400,"R1",367700,210700,NA,1482,0
1920,NA,"A - Average",5,2,0,0,805100,"R2",513500,291600,NA,2370,0
1950,2005,"A - Average",3,1,0,0,406900,"R1",265200,141700,NA,1190,0
1910,1976,"F - Fair",5,3,0,0,418600,"R2",183900,234700,NA,2591,0
1905,NA,"G - Good",9,3,0,1,923900,"R3",718200,205700,NA,3498,0
1900,2012,"A - Average",4,2,0,0,729600,"R2",451400,278200,NA,2037.2,0
1915,NA,"A - Average",5,2,0,0,594000,"R2",403000,191000,NA,2500,0
1895,NA,"G - Good",4,3,0,0,1315500,"R2",938200,377300,NA,2443.7,0
1914,NA,"A - Average",4,2,0,0,1000100,"R1",653600,346500,NA,2620,0
1905,NA,"A - Average",3,1,0,0,438400,"R1",268500,169900,NA,1572.6,0
1905,NA,"A - Average",8,3,0,0,618700,"R3",411100,207600,NA,4185,0
1890,NA,"A - Average",6,3,0,0,739300,"R3",540400,198900,NA,2628,0
1880,NA,"A - Average",5,3,0,2,1022600,"R3",718900,303700,NA,2617,0
1900,NA,"A - Average",3,1,0,0,556800,"R1",360500,196300,NA,1164,0
1954,NA,"A - Average",3,1,0,0,635200,"R1",394900,240300,NA,1530,0
1910,2008,"A - Average",6,2,0,0,1055400,"R2",698500,356900,NA,3328,0
1910,2015,"A - Average",4,1,0,0,1394000,"R1",896400,497600,NA,2193,0
1932,NA,"A - Average",3,1,0,0,647500,"R1",441000,206500,NA,1550.6,0
1910,1998,"A - Average",7,3,0,0,752700,"R3",517800,234900,NA,3879,0
1905,2016,"A - Average",6,3,0,0,946100,"R3",730400,215700,NA,3042,0
1915,NA,"A - Average",6,2,0,0,668300,"R2",432200,236100,NA,2327.4,0
1890,2004,"A - Average",5,3,0,0,627200,"R3",463200,164000,NA,3258,0
1905,2008,"A - Average",3,2,1,2,1227800,"R1",942100,285700,NA,2248.8,0
1905,NA,"A - Average",9,3,0,0,885600,"R3",675700,209900,NA,4434,0
1940,NA,"A - Average",4,2,0,0,766100,"R2",485800,280300,NA,1900,0
1929,NA,"A - Average",2,1,0,0,414900,"R1",239500,175400,NA,720,0
1900,NA,"A - Average",5,2,1,1,1068200,"R3",721800,346400,NA,4264.8,0
1960,2021,"A - Average",2,2,0,1,502800,"R1",335400,167400,NA,1092,0
1880,2002,"A - Average",4,2,0,0,899800,"R1",725200,174600,NA,2592,0
1880,2016,"A - Average",5,2,0,0,607500,"R1",432900,174600,NA,2045,0
1905,NA,"A - Average",4,2,0,0,669500,"R2",457400,212100,NA,2308,0
1929,NA,"A - Average",3,1,0,0,690700,"R1",464500,226200,NA,1196,0
1905,NA,"A - Average",9,3,0,0,815000,"R3",637200,177800,NA,4365,0
1935,2016,"G - Good",3,3,0,0,800300,"R1",596300,204000,NA,1615,0
1920,2005,"A - Average",8,2,0,0,784600,"R2",551300,233300,NA,3036,0
1905,1989,"A - Average",9,3,0,0,975600,"R3",774800,200800,NA,3594,0
1910,1979,"A - Average",9,3,0,0,940300,"R3",610500,329800,NA,4464,0
1880,NA,"A - Average",5,2,0,0,523200,"R1",346700,176500,NA,2504,0
